Year,Surface Temperature Change,Land Cover Change ,Green House Gas Concentration
1992,0.184,96.53647822,23295.38422
1993,0.348,96.79988209,23502.26165
1994,0.507,96.6054527,23669.46783
1995,0.835,97.13550738,24337.57469
1996,0.355,97.28952566,24929.03344
1997,0.656,97.52710112,25212.84513
1998,0.993,97.81829248,25286.27384
1999,0.783,98.5046355,25412.66564
2000,0.728,99.01222621,26258.8127
2001,0.834,99.1753829,26547.15165
2002,1.021,99.33661711,26978.00165
2003,0.893,99.47855973,28205.65381
2004,0.913,99.86269957,29505.05976
2005,1.095,99.7587211,30618.45629
2006,0.998,99.81648359,31579.468
2007,1.195,99.78207402,32572.94225
2008,0.935,99.86576997,32822.47601
2009,0.957,99.87791414,32420.70647
2010,1.219,99.87212716,34208.35942
2011,0.921,99.89465559,35230.75269
2012,1.074,99.85695315,35701.59615
2013,1.016,99.9179153,36250.74416
2014,1.053,99.95472786,36501.23471
2015,1.412,100,36423.2527
2016,1.66,99.90634069,36393.51744
2017,1.429,100.0186438,37032.71392
2018,1.29,100.1073089,37835.23103
2019,1.444,100.1200864,37842.30315
2020,1.711,100.168538,35947.24354
